Config,Clusters,Iterations,Inertia
modified,2,12,2.79e+11
modified,3,24,2.33e+11
modified,4,33,2.07e+11
modified,5,26,1.93e+11
modified,6,54,1.70e+11
modified,7,65,1.48e+11
modified,8,35,1.33e+11
modified,9,90,1.24e+11
modified,10,43,1.18e+11
modified,11,38,1.13e+11
modified,12,38,1.08e+11
modified,13,50,9.85e+10
modified,14,47,9.55e+10
modified,15,31,9.22e+10
modified,16,44,9.40e+10
modified,17,44,8.70e+10
modified,18,59,8.31e+10
modified,19,49,8.14e+10
modified,20,76,8.19e+10
modified,21,80,7.76e+10
modified,22,79,7.58e+10
modified,23,41,7.51e+10
modified,24,72,7.34e+10
modified,25,39,6.96e+10
modified,26,62,6.90e+10
modified,27,56,6.78e+10
modified,28,59,6.67e+10
modified,29,44,6.51e+10
modified,30,67,6.49e+10
modified,31,69,6.37e+10
modified,32,44,6.30e+10
modified,33,68,6.04e+10
modified,34,60,6.11e+10
modified,35,84,5.83e+10
modified,36,48,5.87e+10
modified,37,22,5.75e+10
modified,38,89,5.82e+10
modified,39,40,5.73e+10
modified,40,35,5.58e+10
modified,41,52,5.44e+10
modified,42,71,5.39e+10
modified,43,39,5.31e+10
modified,44,48,5.29e+10
modified,45,57,5.18e+10
modified,46,77,5.47e+10
modified,47,88,5.08e+10
modified,48,100,5.14e+10
modified,49,41,5.05e+10
