Config,Clusters,Iterations,Inertia
modified,2,13,2.79e+11
modified,3,30,2.33e+11
modified,4,34,2.07e+11
modified,5,27,1.90e+11
modified,6,40,1.70e+11
modified,7,64,1.45e+11
modified,8,49,1.33e+11
modified,9,38,1.26e+11
modified,10,67,1.18e+11
modified,11,29,1.12e+11
modified,12,40,1.06e+11
modified,13,38,1.02e+11
modified,14,32,9.86e+10
modified,15,34,9.18e+10
modified,16,47,9.00e+10
modified,17,35,8.79e+10
modified,18,40,8.37e+10
modified,19,46,8.17e+10
modified,20,37,8.02e+10
modified,21,49,7.90e+10
modified,22,70,7.47e+10
modified,23,69,7.41e+10
modified,24,69,7.20e+10
modified,25,52,7.12e+10
modified,26,35,7.03e+10
modified,27,76,6.78e+10
modified,28,43,6.75e+10
modified,29,48,6.57e+10
modified,30,54,6.30e+10
modified,31,38,6.41e+10
modified,32,65,6.30e+10
modified,33,45,6.06e+10
modified,34,39,6.00e+10
modified,35,65,5.80e+10
modified,36,36,6.03e+10
modified,37,59,5.67e+10
modified,38,43,5.68e+10
modified,39,58,5.58e+10
modified,40,86,5.48e+10
modified,41,45,5.51e+10
modified,42,47,5.40e+10
modified,43,48,5.24e+10
modified,44,55,5.27e+10
modified,45,67,5.21e+10
modified,46,61,5.19e+10
modified,47,41,5.12e+10
modified,48,67,5.12e+10
modified,49,45,4.88e+10
