Config,Clusters,Iterations,Inertia
modified,2,13,2.79e+11
modified,3,32,2.33e+11
modified,4,31,2.07e+11
modified,5,21,1.82e+11
modified,6,66,1.64e+11
modified,7,50,1.46e+11
modified,8,26,1.33e+11
modified,9,29,1.24e+11
modified,10,45,1.19e+11
modified,11,67,1.10e+11
modified,12,40,1.06e+11
modified,13,35,1.01e+11
modified,14,44,9.90e+10
modified,15,27,9.74e+10
modified,16,32,8.89e+10
modified,17,54,8.58e+10
modified,18,34,8.31e+10
modified,19,32,8.05e+10
modified,20,48,7.88e+10
modified,21,40,7.84e+10
modified,22,58,7.47e+10
modified,23,55,7.22e+10
modified,24,68,7.15e+10
modified,25,50,6.93e+10
modified,26,64,7.14e+10
modified,27,91,6.89e+10
modified,28,81,6.51e+10
modified,29,34,6.51e+10
modified,30,48,6.42e+10
modified,31,67,6.41e+10
modified,32,48,6.32e+10
modified,33,41,6.21e+10
modified,34,47,5.99e+10
modified,35,80,6.05e+10
modified,36,43,5.87e+10
modified,37,46,5.72e+10
modified,38,50,5.89e+10
modified,39,43,5.58e+10
modified,40,35,5.53e+10
modified,41,93,5.43e+10
modified,42,56,5.30e+10
modified,43,49,5.26e+10
modified,44,48,5.37e+10
modified,45,72,5.17e+10
modified,46,59,5.11e+10
modified,47,48,5.00e+10
modified,48,43,5.09e+10
modified,49,68,4.95e+10
