Config,Clusters,Iterations,Inertia
Random K-means,2,13,2.79e+11
K-means++,2,11,2.79e+11
Random K-means,3,30,2.33e+11
K-means++,3,8,2.33e+11
Random K-means,4,34,2.07e+11
Random K-means,5,19,1.82e+11
Random K-means,8,52,1.33e+11
Random K-means,6,54,1.62e+11
Random K-means,9,57,1.24e+11
K-means++,4,15,2.07e+11
Random K-means,12,80,1.05e+11
K-means++,5,18,1.83e+11
Random K-means,10,50,1.17e+11
Random K-means,11,58,1.10e+11
Random K-means,7,56,1.45e+11
Random K-means,13,41,9.86e+10
Random K-means,17,49,8.57e+10
Random K-means,15,53,9.18e+10
Random K-means,16,47,8.86e+10
Random K-means,14,47,9.47e+10
K-means++,6,18,1.63e+11
Random K-means,18,39,8.26e+10
K-means++,7,21,1.45e+11
K-means++,8,26,1.33e+11
Random K-means,19,46,8.12e+10
Random K-means,22,71,7.58e+10
Random K-means,20,56,7.91e+10
Random K-means,27,55,6.72e+10
Random K-means,21,53,7.76e+10
K-means++,9,50,1.24e+11
K-means++,11,23,1.10e+11
K-means++,10,42,1.16e+11
Random K-means,26,45,6.80e+10
Random K-means,23,39,7.34e+10
Random K-means,28,65,6.59e+10
Random K-means,24,87,7.26e+10
Random K-means,31,72,6.24e+10
K-means++,15,18,9.14e+10
Random K-means,29,97,6.37e+10
Random K-means,30,103,6.32e+10
K-means++,12,26,1.03e+11
K-means++,13,25,9.82e+10
Random K-means,25,61,6.90e+10
Random K-means,32,102,6.10e+10
K-means++,16,57,8.80e+10
K-means++,14,66,9.43e+10
K-means++,18,28,8.29e+10
K-means++,17,59,8.56e+10
Random K-means,44,92,5.35e+10
Random K-means,40,74,5.58e+10
Random K-means,41,67,5.51e+10
Random K-means,48,74,5.17e+10
Random K-means,46,94,5.25e+10
Random K-means,33,89,6.02e+10
Random K-means,34,82,5.96e+10
Random K-means,39,83,5.61e+10
K-means++,19,44,7.96e+10
Random K-means,35,104,5.87e+10
Random K-means,42,104,5.44e+10
K-means++,20,26,7.74e+10
Random K-means,43,94,5.43e+10
Random K-means,37,84,5.75e+10
K-means++,21,46,7.57e+10
Random K-means,45,80,5.21e+10
Random K-means,47,88,5.17e+10
K-means++,23,74,7.17e+10
Random K-means,36,90,5.79e+10
K-means++,25,51,6.77e+10
Random K-means,49,106,5.14e+10
K-means++,26,37,6.67e+10
K-means++,24,61,6.98e+10
K-means++,28,34,6.46e+10
K-means++,27,54,6.56e+10
K-means++,32,51,5.97e+10
K-means++,30,47,6.20e+10
K-means++,29,39,6.29e+10
K-means++,31,43,6.08e+10
K-means++,33,30,5.91e+10
K-means++,37,28,5.59e+10
K-means++,34,35,5.82e+10
K-means++,35,30,5.72e+10
K-means++,36,27,5.66e+10
K-means++,38,25,5.49e+10
K-means++,41,30,5.25e+10
K-means++,40,32,5.33e+10
K-means++,39,52,5.43e+10
K-means++,44,32,5.04e+10
K-means++,42,42,5.19e+10
K-means++,43,53,5.13e+10
K-means++,48,38,4.82e+10
K-means++,46,40,4.98e+10
K-means++,47,38,4.85e+10
K-means++,45,34,5.00e+10
K-means++,49,29,4.76e+10
