Config,Clusters,Iterations,Inertia
modified,2,25,2.79e+11
modified,3,26,2.53e+11
modified,4,27,2.07e+11
modified,5,30,1.82e+11
modified,6,32,1.62e+11
modified,7,54,1.60e+11
modified,8,25,1.43e+11
modified,9,24,1.34e+11
modified,10,26,1.34e+11
modified,11,73,1.22e+11
modified,12,51,1.15e+11
modified,13,25,1.12e+11
modified,14,62,1.00e+11
modified,15,80,1.06e+11
modified,16,37,9.90e+10
modified,17,44,1.03e+11
modified,18,41,8.94e+10
modified,19,49,8.77e+10
modified,20,36,8.72e+10
modified,21,47,9.13e+10
modified,22,32,8.98e+10
modified,23,41,8.16e+10
modified,24,33,8.61e+10
modified,25,46,8.56e+10
modified,26,42,7.99e+10
modified,27,37,8.36e+10
modified,28,42,8.30e+10
modified,29,34,7.85e+10
modified,30,39,7.87e+10
modified,31,53,7.74e+10
modified,32,42,7.36e+10
modified,33,34,7.71e+10
modified,34,51,7.44e+10
modified,35,36,7.71e+10
modified,36,74,7.21e+10
modified,37,65,6.35e+10
modified,38,116,5.71e+10
modified,39,72,5.73e+10
modified,40,59,5.68e+10
modified,41,57,5.54e+10
modified,42,61,5.61e+10
modified,43,76,5.42e+10
modified,44,59,5.48e+10
modified,45,96,5.41e+10
modified,46,68,5.26e+10
modified,47,95,5.26e+10
modified,48,92,5.22e+10
modified,49,79,5.13e+10
