Config,Clusters,Iterations,Inertia
K-means++,2,10,2.79e+11
K-means++,3,26,2.33e+11
K-means++,4,24,2.07e+11
K-means++,5,16,1.87e+11
K-means++,6,18,1.74e+11
K-means++,7,22,1.57e+11
K-means++,8,55,1.33e+11
K-means++,9,31,1.25e+11
K-means++,10,52,1.18e+11
K-means++,11,36,1.10e+11
K-means++,12,42,1.03e+11
K-means++,13,65,9.88e+10
K-means++,14,61,9.98e+10
K-means++,15,24,9.26e+10
K-means++,16,22,8.90e+10
K-means++,17,27,8.73e+10
K-means++,18,37,8.49e+10
K-means++,19,53,8.05e+10
K-means++,20,24,7.85e+10
K-means++,21,28,7.64e+10
K-means++,22,25,7.43e+10
K-means++,23,38,7.36e+10
K-means++,24,19,7.08e+10
K-means++,25,47,6.81e+10
K-means++,26,47,6.83e+10
K-means++,27,29,6.68e+10
K-means++,28,51,6.49e+10
K-means++,29,42,6.49e+10
K-means++,30,39,6.41e+10
K-means++,31,41,6.08e+10
K-means++,32,51,6.01e+10
K-means++,33,35,5.92e+10
K-means++,34,36,5.85e+10
K-means++,35,57,5.79e+10
K-means++,36,68,5.80e+10
K-means++,37,33,5.62e+10
K-means++,38,31,5.52e+10
K-means++,39,31,5.49e+10
K-means++,40,39,5.49e+10
K-means++,41,23,5.35e+10
K-means++,42,45,5.26e+10
K-means++,43,79,5.19e+10
K-means++,44,53,5.19e+10
K-means++,45,65,5.06e+10
K-means++,46,30,5.01e+10
K-means++,47,51,4.94e+10
K-means++,48,33,4.99e+10
K-means++,49,63,4.84e+10
