Config,Clusters,Iterations,Inertia
Random K-means,2,12,2.79e+11
Random K-means,3,33,2.33e+11
Random K-means,4,53,2.07e+11
Random K-means,5,27,1.89e+11
Random K-means,6,86,1.70e+11
Random K-means,7,42,1.57e+11
Random K-means,8,46,1.50e+11
Random K-means,9,28,1.26e+11
Random K-means,10,50,1.18e+11
Random K-means,11,47,1.13e+11
Random K-means,12,45,1.06e+11
Random K-means,13,62,9.93e+10
Random K-means,14,26,9.93e+10
Random K-means,15,33,9.69e+10
Random K-means,16,68,8.86e+10
Random K-means,17,45,8.58e+10
Random K-means,18,41,8.42e+10
Random K-means,19,110,8.02e+10
Random K-means,20,50,8.00e+10
Random K-means,21,105,7.79e+10
Random K-means,22,67,7.67e+10
Random K-means,23,63,7.44e+10
Random K-means,24,63,7.41e+10
Random K-means,25,35,7.25e+10
Random K-means,26,56,6.87e+10
Random K-means,27,57,6.91e+10
Random K-means,28,81,6.75e+10
Random K-means,29,74,6.78e+10
Random K-means,30,70,6.70e+10
Random K-means,31,69,6.24e+10
Random K-means,32,71,6.10e+10
Random K-means,33,80,6.13e+10
Random K-means,34,113,6.23e+10
Random K-means,35,84,5.95e+10
Random K-means,36,57,5.87e+10
Random K-means,37,59,5.85e+10
Random K-means,38,64,5.75e+10
Random K-means,39,105,5.76e+10
Random K-means,40,81,5.59e+10
Random K-means,41,81,5.52e+10
Random K-means,42,95,5.50e+10
Random K-means,43,68,5.53e+10
Random K-means,44,61,5.39e+10
Random K-means,45,66,5.37e+10
Random K-means,46,58,5.38e+10
Random K-means,47,75,5.24e+10
Random K-means,48,67,5.25e+10
Random K-means,49,58,5.20e+10
